Job ID,Skill,Categories,Job_Types,Experience_Levels,Countries
1.9740868571948275e+18,API,Web Development,Fixed,Intermediate,nan
1.9740868571948275e+18,Amazon Web Services,DevOps & Solution Architecture,Fixed,Intermediate,nan
1.9740868571948275e+18,Angular,Web Development,Fixed,Intermediate,nan
1.9740868571948275e+18,AngularJS,Web Development,Fixed,Intermediate,nan
1.9740868571948275e+18,Ansible,DevOps & Solution Architecture,Fixed,Intermediate,nan
1.9740868571948275e+18,Azure DevOps,DevOps & Solution Architecture,Fixed,Intermediate,nan
1.9740868571948275e+18,DevOps,DevOps & Solution Architecture,Fixed,Intermediate,nan
1.9740868571948275e+18,Java,Web Development,Fixed,Intermediate,nan
1.9740868571948275e+18,Microsoft Azure,DevOps & Solution Architecture,Fixed,Intermediate,nan
1.9740868571948275e+18,Spring Boot,Web Development,Fixed,Intermediate,nan
1.9740868571948275e+18,Terraform,DevOps & Solution Architecture,Fixed,Intermediate,nan
1.9756418772729288e+18,C++,"Desktop Application Development, Web Development",Fixed,Intermediate,Ukraine
1.9756418772729288e+18,Chromium,"Desktop Application Development, Web Development",Fixed,Intermediate,Ukraine
1.9756418772729288e+18,JavaScript,"Desktop Application Development, Web Development",Fixed,Intermediate,Ukraine
1.9756418772729288e+18,Node.js,"Desktop Application Development, Web Development",Fixed,Intermediate,Ukraine
1.9756418772729288e+18,TypeScript,Web Development,Fixed,Intermediate,Ukraine
1.9787475748485745e+18,AI Agent Development,AI Apps & Integration,Hourly,Intermediate,Pakistan
1.9787475748485745e+18,FlutterFlow,Mobile Development,Hourly,Intermediate,Pakistan
1.9787475748485745e+18,OpenAI API,AI Apps & Integration,Hourly,Intermediate,Pakistan
1.9787475748485745e+18,n8n,AI Apps & Integration,Hourly,Intermediate,Pakistan
1.98e+18,3D Design,Web Development,Hourly,Intermediate,Philippines
1.98e+18,API Integration,Scripts & Utilities,Fixed,Intermediate,United States
1.98e+18,Android,Mobile Development,Hourly,Intermediate,United Kingdom
1.98e+18,CSS,Ecommerce Development,Fixed,Intermediate,Netherlands
1.98e+18,CSS 3,Web Development,Fixed,Intermediate,United States
1.98e+18,Ecommerce Website,Ecommerce Development,Hourly,Intermediate,United States
1.98e+18,Forex Trading,Scripts & Utilities,Fixed,Intermediate,United States
1.98e+18,HTML,Ecommerce Development,Fixed,Intermediate,Netherlands
1.98e+18,HTML5,"Web & Mobile Design, Web Development","Fixed, Hourly",Intermediate,United States
1.98e+18,Illustration,Web Development,Hourly,Intermediate,Philippines
1.98e+18,JavaScript,"Ecommerce Development, Web Development",Fixed,Intermediate,"Netherlands, United States"
1.98e+18,Node.js,Scripts & Utilities,Fixed,Intermediate,United States
1.98e+18,PHP,"Ecommerce Development, Web Development",Fixed,Intermediate,"Netherlands, United States"
1.98e+18,Python,Scripts & Utilities,Fixed,Intermediate,United States
1.98e+18,Shopware,Ecommerce Development,Fixed,Intermediate,Netherlands
1.98e+18,Smartphone,Mobile Development,Hourly,Intermediate,United Kingdom
1.98e+18,Trading Automation,Scripts & Utilities,Fixed,Intermediate,United States
1.98e+18,Web Application,Web Development,Hourly,Intermediate,Philippines
1.98e+18,Web Design,"Ecommerce Development, Web & Mobile Design",Hourly,Intermediate,United States
1.98e+18,Web Development,Web & Mobile Design,Hourly,Intermediate,United States
1.98e+18,Wix,Web & Mobile Design,Hourly,Intermediate,United States
1.98e+18,iOS,Mobile Development,Hourly,Intermediate,United Kingdom
1.981014048779932e+18,No-Code Development,"Ecommerce Development, Mobile Development",Fixed,Expert,India
1.981014048779932e+18,Progressive Web App,"Ecommerce Development, Mobile Development",Fixed,Expert,India
1.9835453016052813e+18,HTML5,"Desktop Application Development, QA Testing",Fixed,Intermediate,United Kingdom
1.9835453016052813e+18,Java,"Desktop Application Development, QA Testing",Fixed,Intermediate,United Kingdom
1.9835453016052813e+18,JavaScript,"Desktop Application Development, QA Testing",Fixed,Intermediate,United Kingdom
1.9835453016052813e+18,PHP,"Desktop Application Development, QA Testing",Fixed,Intermediate,United Kingdom
1.9872774257320504e+18,Elementor,"Ecommerce Development, Web Development",Fixed,Expert,United States
1.9872774257320504e+18,Web Design,"Ecommerce Development, Web Development",Fixed,Expert,United States
1.9872774257320504e+18,WordPress,"Ecommerce Development, Web Development",Fixed,Expert,United States
